"id","name","price","brand","description","department","stock","photo"
"d6989400-f244-41b7-b2f0-4a83470f13f9","RTX 3050 EPIC  SuperFrame","1189.0","d725d664-dacc-4c51-933f-addf1d1c7aff","Placa de Vídeo SuperFrame NVIDIA GeForce RTX 3050 EPIC 6GB, GDDR6, DLSS, Ray Tracing, SF-GC-EPNV30506GD6","9dd89b1b-ee6b-4474-a4bb-4fccaeb497aa","199","images/products/placa-de-video-superframe-nvidia-geforce-rtx-3050-epic-6gb-gddr6-dlss-ray-tracing-sf-gc-epnv30506gd6_200132-b4a6b2e2-f49e-4ce1-acbe-8f06dabad59d.jpg"
"65ad0ad1-237b-4832-973b-f01440a54e3c","Logitech Zone Vibe 100","549.99","d270696c-751b-4b45-930f-e790a40d8f8f","Headset Sem Fio Logitech Zone Vibe 100, Drivers 40 mm, USB, Bluetooth, PC, Mobile, Grafite - 981-001214","c4290939-c7e0-4c6d-ba3e-54fa08864610","100","images/products/headset-sem-fio-logitech-zone-vibe-100-drivers-40-mm-usb-bluetooth-pc-mobile-grafite-981-001214_1672246950_g-9608e811-309b-4ed4-8e0a-bcf3bdbad133.jpeg"
"caba979b-8cc2-4bbb-9e5b-8fb638337258","Memória DDR4  8GB 3200Mhz","152.9","0fb7b9fc-0be0-45c2-a04c-ca2d105efce2","Memória DDR4 XPG Gammix D10, 8GB 3200Mhz, Black, AX4U32008G16A-SB10","9dd89b1b-ee6b-4474-a4bb-4fccaeb497aa","319","images/products/memoria-ddr4-xpg-gammix-d10-8gb-3200mhz-cl16-black-ax4u32008g16a-sb10_121055-621fd40b-f7f9-4901-a609-e704fc036c44.jpg"
"67fbbaf6-871a-4d41-a11e-21bf2c8f30e8","Cadeira Gamer Corsair T1 Race","999.9","174016ca-4814-42c0-b725-f5fbbbf10e9d","A cadeira CORSAIR T1 RACE tem um design e um conforto inspirados no automobilismo, aliados a materiais de altíssima qualidade. Com um luxuoso revestimento em P.U. e costuras com estilo, a T1 RACE é reforçada com uma estrutura em aço interna que garante anos de durabilidade e robustez. Graças aos apoios para braços 4D ajustáveis, ao ajuste de altura com um elevador a gás de classe 4 e construção em aço, ao encosto reclinável 160° e aos 10° de inclinação do assento, pode encontrar facilmente o seu conforto ideal. De montagem simples em apenas alguns minutos e sem ferramentas adicionais, a T1 RACE inspira-se no automobilismo, mas é criada para os jogos.","2c17cc6a-4007-40a1-aa56-057297921c2c","10","images/products/CadeiraGamerCorsairT1Race-b8297876-dfb2-44ec-8aee-3ef0fa98919b.jpeg"
"beb0a225-8f4b-4493-be7c-c5999d876dc5","Fonte Corsair Hx1200, 1200w, 80 Plus Platinum, Full Modular","1679.99","174016ca-4814-42c0-b725-f5fbbbf10e9d","Fonte corsair hx1200, 1200w, 80 plus platinum, full modular hx series™ corsair. Fornece eficiência 80 plus platinum, regulação de tensão extremamente precisa e um modo de ventoinha zero rpm, permitindo um funcionamento praticamente silencioso.    Tencnologia 80 plus platinum que reduz o custo de operação e o calor em excesso, enquanto o modo de ventoinha zero rpm garante um completo silêncio com cargas baixas e médias.    full modular  um design totalmente modular permite que os cabos sejam removidos da fonte de alimentação para facilitar a instalação e remoção. Você também pode deixar cabos desnecessários para reduzir a confusão de caixas e maximizar o fluxo de ar da caixa.","9dd89b1b-ee6b-4474-a4bb-4fccaeb497aa","50","images/products/FonteCorsairHx1200-f4cf2321-8c89-4ab0-ad80-6c1a9b62ee80.jpeg"
"f43a2045-cf73-4d87-ad07-fb8ca9cbd2fa","Memória Ram Corsair Vengeance Series, 16GB, 3200MHz, DDR4","284.99","174016ca-4814-42c0-b725-f5fbbbf10e9d","Tenha acesso a frequências mais rápidas, maior capacidade e um alto desempenho para lidar com as tarefas, jogos e cargas de trabalho mais exigentes.     Ampla Compatibilidade  Compatível com uma ampla gama de laptops gamers e de alto desempenho populares Intel e AMD, PCs compactos e kits NUC Intel. Instalação em minutos na maioria dos laptops e computadores compatíveis*.  *Confira com seu fabricante de hardware as informações de compatibilidade e instruções de instalação.     Ajustado para Máxima Velocidade  Configura-se automaticamente na velocidade máxima em sistemas compatíveis, oferecendo tempos de carregamento mais rápidos, capacidade de realizar multitarefas e muito mais.     Não há necessidade de configurar o BIOS para melhorar a velocidade. Basta instalá-lo e ir em frente.     Testado Rigorossamente para Garantir a Confiabilidade  Cada módulo é rigorosamente avaliado e testado em condições extremas para garantir desempenho e confiabilidade superior.  ","9dd89b1b-ee6b-4474-a4bb-4fccaeb497aa","50","images/products/memoriaorsairVengeance-429c8846-dcb5-4f8c-834a-e136d44556a5.jpeg"
"c74c1032-6d70-4391-ab69-ad426862c6da","Placa de Vídeo RTX 4060 NVIDIA GeForce, 8GB GDDR6, DLSS, Ray Tracing","1929.99","d725d664-dacc-4c51-933f-addf1d1c7aff","Leve o Essencial O VENTUS traz uma experiência fundamentalmente sólida para usuários que procuram uma placa gráfica de alto desempenho. Um design atualizado de aparência nítida com o TORX FAN 4.0 permite que o VENTUS passe por qualquer tarefa.     O TORX FAN 4.0 Construído com base no trabalho em equipe, com pares de pás do ventilador unidas por um design de anel externo vinculado que concentra o fluxo de ar no sistema de resfriamento Dual-Fan.     DLSS Jogue, transmita, crie. A GeForce RTX 4060 permite que você jogue os jogos e aplicativos mais recentes com a ultraeficiente arquitetura NVIDIA Ada Lovelace. Experimente jogos imersivos acelerados por IA com ray tracing e DLSS 3 e potencialize seu processo criativo e produtividade com o NVIDIA Studio.","9dd89b1b-ee6b-4474-a4bb-4fccaeb497aa","20","images/products/placa-de-video-rtx-4060-1ef53d99-50a0-4208-acfe-3defddcfe1d5.jpeg"
"640d7d3f-c1a4-4c00-b6ea-eeeebbe075df","Teclado Mecânico Gamer HyperX Alloy MKW100, RGB","199.99","a8b0e095-05f3-469b-acfd-124e9fa38b86","Obtenha uma iluminação radiante e por tecla com efeitos dinâmicos para adicionar um toque de estilo ao seu setup de PC.     Estrutura em alumínio durável Com uma estrutura de alumínio sólida, o Alloy MKW100 foi projetado para fornecer estabilidade quando os toques em teclas estiverem a todo vapor. O descanso para pulso removível ajuda a reduzir a fadiga de longas sessões de jogos ou de trabalho.   Switches à prova de poeira responsivos e confiáveis Com switches mecânicos à prova de poeira com classificação de até 50 milhões de cliques, você usufruirá a confiabilidade duradoura e silenciosa do Alloy MKW100. O conector USB em metal dourado impede a corrosão, enquanto a trança de tecido aumenta a longevidade do cabo para anos de uso confiável. Personalize o show de luz RGB do Alloy MKW100 com o poderoso software HyperX NGENUITY fácil de usar.","c4290939-c7e0-4c6d-ba3e-54fa08864610","30","images/products/teclado-mecanico-gamer-hyperx-38c35a4e-bd86-4717-9e6a-4d5a3d34811b.jpeg"
"91a72ea0-5495-4152-a0c3-84c468c2283d","Headset Gamer Sem Fio Corsair HS55, 7.1 Surround","359.9","174016ca-4814-42c0-b725-f5fbbbf10e9d","Conexão Wireless de Baixa Latência Tenha um som de alta qualidade sem precisar de fio, com alcance de até 15 metros, além de compatibilidade com Bluetooth para dispositivos móveis e muito mais.     Som Incrivelmente Imersivo O som surround Dolby Audio 7.1* e os drivers de áudio em neodímio de 50mm contam com ajuste personalizado, alta qualidade e amplo alcance, oferecendo um som excelente, que permite escutar tudo no campo de batalha.     * O Dolby Audio só está disponível usando o software CORSAIR iCUE no PC e no Mac.     Comunicação Claríssima Capte, com precisão e clareza espetaculares, todas as suas chamadas e comandos graças a um microfone onidirecional que conta com uma prática função articulada para silenciar.","c4290939-c7e0-4c6d-ba3e-54fa08864610","50","images/products/headset-gamer-sem-fio-corsair-1215c743-b92f-48b7-b2ac-f0f802248599.jpeg"
"d6932372-9df2-4a21-9bf2-39c7c70340e5","Mouse Gamer Logitech G403 HERO com RGB LIGHTSYNC","229.99","d270696c-751b-4b45-930f-e790a40d8f8f","O G403 entra no ringue com a nova geração do sensor HERO 25K. Prepare-se para um mouse com rastreamento 1:1 no próximo nível, faixa de sensibilidade de 100-25.600 DPI, além de suavização, filtragem e aceleração nulas.     G HUB e LIGHTSYNC RGB    Configure 6 botões programáveis usando o software Logitech G HUB para simplificar as ações no jogo. Personalize sua configuração de sensibilidade de DPI de 100 a 25.600 DPI e escolha uma segmentação com precisão de pixel e baixa sensibilidade para manobrar de forma extremamente rápida.  A Iluminação inteligente do G403, específica para jogos e com espectro RGB completo que responde às ações, ao áudio e às cores da tela no jogo, sincronizada nos equipamentos G. Personalize animações de iluminação e efeitos de 16.8 milhões de cores usando o software de jogos G HUB, e para combinar com seu setup.","c4290939-c7e0-4c6d-ba3e-54fa08864610","100","images/products/mouse-gamer-logitech-g403-bd40c068-5aa5-43f5-b7a0-eb69b2754072.jpeg"
